29,False Imprisonment,"When a person either forcibly, by threat, conﬁnes, abducts, imprisons, or restrains another person without lawful authority against their will, or secretly conﬁnes, abducts, imprisons, or restrains another person without lawful authority against their will"
30,Fleeing the Scene of an Accident,When a person is involved in an accident or crash and willfully leaves the scene of the accident or crash without providing their information to the other individuals involved
31,Forgery,"When a person falsely makes, alters, counterfeits, or forges a document that carries legal efficacy"
32,Fraud,Wrongful or criminal deception intended to result in ﬁnancial or personal gain
33,Grand Theft,The unlawful taking of property worth more than $300
34,Interference with Traffic Control Railroad Divide,Unlawfully interfering with a railroad divide
35,Kidnapping,"When a person forcibly, secretly, or by threat conﬁnes, abducts, or imprisons another person against their will, without lawful authority"
36,Loitering,"Standing or waiting around idly in a manner unusual for law abiding citizens, creating an imminent threat to public safety"
37,Manufacturing Cannabis/Marijuana,Manufacturing or cultivating cannabis
38,Offense Against Intellectual Property,"Robbing people or companies of their ideas, inventions, and creative expressions known as intellectual property which can include everything from trade secrets and proprietary products and parts to movies, music, and software"
39,Open Carrying of Weapon,"When a person knowingly carries, on or about his or her person, a weapon that is not concealed"
40,Operating a Vehicle without a Valid Drivers License,Operating a motor vehicle without a valid drivers license
41,Possession of a Controlled Substance,Possession of a criminalized narcotic or pharmacological drug
42,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana
43,Possession of Cocaine,Possession of cocaine
44,Possession of Ecstasy,Possession of Ecstasy
45,Possession of LSD,Possession of LSD
46,Possession of Meth,Possession of Meth
47,Possession of Morphine,Possession of Morphine
48,Possession of Oxycodone,Possession of Oxycodone
49,Prostitution,Engaging in sex for money
50,Reckless Driving,When you drive a vehicle in a manner that shows a willful disregard for the safety of persons or property
51,Resisting an Officer,"When a person knowingly and willfully, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty"
52,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty"
53,Restraining Order Violation,Violating the terms of a restraining order
54,Robbery,"When a person intentionally and unlawfully takes money or property from another person through the use of force, violence, assault, or threat"
55,Sexual Assault,"Sexual assault, also known as rape, sexual abuse and sexual battery, is deﬁned as unwanted oral, anal or vaginal penetration by, or union with, the sexual organ of another or the anal or vaginal penetration of another by any other object"
56,Soliciting For Prostitution,"When a person solicits, induces, entices, or procures another person to engage in prostitution, lewdness, or assignation"
57,Stalking,"When a person willfully, maliciously, and repeatedly follows, harasses, or cyberstalks another person"
58,Tampering with a Witness,The act of attempting to alter or prevent the testimony of witnesses within criminal or civil proceedings
59,Tampering With Physical Evidence,"When a person alters, destroys, suppresses or conceals any record, document or thing with purpose to impair its verity, legibility or availability in any official proceeding or investigation"
60,Theft,The taking of another person’s property worth less than $300
61,Threat Against Public Servant,"An intentional and unlawful threat against an emergency medical care provider, ﬁreﬁghter, or law enforcement officer, coupled with the apparent ability to carry out the threat, which creates a genuine and reasonable fear that violence or harm is imminent"
62,Trespassing,"Willfully entering or remaining on some form of real property without authorization, license, or invitation"
63,Unlicensed Telemarketing,When an unlicensed commercial telemarketing company or unlicensed salesperson solicits a purchaser for the purpose of attempting to sell consumer goods or service
