"","block","id","race","gender","age","age_cat"
"244","5",3602,"B","M",35,"2"
"245","5",10706,"B","M",42,"3"
"246","5",6251,"B","M",33,"2"
"247","5",1059,"B","M",24,"1"
"248","5",3322,"B","M",22,"1"
"249","5",4444,"W","F",25,"2"
"250","5",10076,"B","M",21,"1"
"251","6",9045,"W","M",46,"3"
"252","6",4258,"W","M",25,"2"
"253","6",4101,"B","M",31,"2"
"254","6",800,"B","M",55,"3"
"255","6",893,"L","M",31,"2"
"256","6",6908,"B","M",30,"2"
"257","6",8054,"B","M",53,"3"
"258","6",9150,"W","M",21,"1"
"259","6",4226,"W","M",31,"2"
"260","6",6424,"L","M",45,"3"
"261","6",4686,"B","F",50,"3"
"262","6",7578,"B","F",43,"3"
"263","6",4404,"B","F",28,"2"
"264","6",8188,"W","M",26,"2"
"265","6",7985,"B","M",35,"2"
"266","6",1865,"W","M",36,"3"
"267","6",8905,"W","M",52,"3"
"268","6",206,"W","F",29,"2"
"269","6",7472,"W","M",80,"3"
"270","6",7555,"W","F",64,"3"
"271","6",2955,"B","M",30,"2"
"272","6",7348,"B","M",38,"3"
"273","6",4967,"B","M",32,"2"
"274","6",8248,"W","M",28,"2"
"275","6",5575,"B","F",29,"2"
"276","6",6379,"W","M",22,"1"
"277","6",5134,"W","M",27,"2"
"278","6",227,"B","F",31,"2"
"279","6",6229,"W","M",38,"3"
"280","6",5923,"W","M",29,"2"
"281","6",7259,"W","M",26,"2"
"282","6",10008,"W","M",28,"2"
"283","6",9830,"W","M",48,"3"
"284","6",4637,"B","M",36,"3"
"285","6",8882,"B","M",22,"1"
"286","6",3289,"B","M",38,"3"
"287","6",3790,"W","M",29,"2"
"288","6",9437,"L","M",23,"1"
"289","6",9405,"B","F",38,"3"
"290","6",552,"W","M",22,"1"
"291","6",5852,"B","F",55,"3"
"292","6",2758,"B","M",25,"2"
"293","6",10878,"L","M",47,"3"
"294","6",8881,"B","M",40,"3"
"295","6",5330,"B","M",29,"2"
"296","6",4907,"B","M",31,"2"
"297","6",2605,"L","M",45,"3"
"298","6",10491,"W","M",29,"2"
"299","6",3215,"W","M",52,"3"
"300","6",2476,"B","M",26,"2"
"301","7",3246,"W","M",30,"2"
"302","7",3408,"W","F",19,"1"
"303","7",10721,"W","M",50,"3"
"304","7",6319,"B","M",23,"1"
"305","7",4028,"B","F",35,"2"
"306","7",1871,"B","F",25,"2"
"307","7",5993,"W","M",51,"3"
"308","7",5223,"B","F",23,"1"
"309","7",2718,"B","F",35,"2"
"310","7",9524,"W","M",29,"2"
"311","7",6801,"W","M",44,"3"
"312","7",10677,"B","M",29,"2"
"313","7",3642,"B","M",41,"3"
"314","7",5850,"W","F",25,"2"
"315","7",4609,"W","M",50,"3"
"316","7",6980,"B","F",28,"2"
"317","7",9268,"W","M",28,"2"
"318","7",2854,"B","M",31,"2"
"319","7",9979,"W","F",34,"2"
"320","7",10134,"L","M",25,"2"
"321","7",700,"B","M",26,"2"
"322","7",3692,"B","M",41,"3"
"323","7",2897,"W","M",28,"2"
"324","7",2353,"W","M",47,"3"
"325","7",2937,"W","M",20,"1"
"326","7",5027,"B","M",27,"2"
"327","7",5886,"W","M",53,"3"
"328","7",332,"B","F",30,"2"
"329","7",10528,"L","M",41,"3"
"330","7",5383,"B","F",19,"1"
"331","7",10921,"B","M",26,"2"
"332","7",3122,"W","M",46,"3"
"333","7",4403,"B","M",40,"3"
"334","7",5114,"W","M",50,"3"
"335","7",1032,"L","M",29,"2"
"336","7",3552,"W","M",28,"2"
"337","7",2072,"W","F",66,"3"
"338","7",5057,"B","F",49,"3"
"339","7",3783,"W","M",38,"3"
"340","7",3574,"B","M",24,"1"
"341","7",5263,"B","M",19,"1"
"342","7",9921,"B","M",27,"2"
"343","7",8171,"W","M",38,"3"
"344","7",7605,"B","M",49,"3"
"345","7",7012,"B","M",28,"2"
"346","7",4655,"W","M",31,"2"
"347","7",7245,"B","M",25,"2"
"348","7",10540,"W","F",31,"2"
"349","7",9801,"B","M",25,"2"
"350","7",7468,"W","M",42,"3"
"351","8",8045,"W","M",23,"1"
"352","8",10836,"B","M",25,"2"
"353","8",4436,"B","M",23,"1"
"354","8",3483,"W","M",39,"3"
"355","8",2396,"W","F",57,"3"
"356","8",6205,"B","M",53,"3"
"357","8",1904,"B","M",32,"2"
"358","8",6443,"W","M",28,"2"
"359","8",765,"B","M",66,"3"
"360","8",2121,"B","F",28,"2"
"361","8",189,"W","M",52,"3"
"362","8",7788,"B","M",33,"2"
"363","8",5485,"B","M",22,"1"
"364","8",8526,"B","F",26,"2"
"365","8",1796,"B","M",21,"1"
"366","8",2078,"W","M",43,"3"
"367","8",10498,"W","F",65,"3"
"368","8",4255,"W","M",27,"2"
"369","8",10499,"W","F",28,"2"
"370","8",7914,"W","M",55,"3"
"371","8",265,"B","M",28,"2"
"372","8",7445,"L","M",31,"2"
"373","8",763,"L","M",26,"2"
"374","8",6658,"B","M",39,"3"
"375","8",9832,"W","M",25,"2"
"376","8",7257,"W","M",24,"1"
"377","8",9031,"B","M",27,"2"
"378","8",956,"B","M",24,"1"
"379","8",4076,"B","M",33,"2"
"380","8",8278,"B","M",53,"3"
"381","8",7754,"W","M",25,"2"
"382","8",7340,"W","F",31,"2"
"383","8",5224,"B","M",25,"2"
"384","8",1834,"W","M",31,"2"
"385","8",829,"W","M",22,"1"
"386","8",9488,"W","M",21,"1"
"387","8",9747,"B","M",32,"2"
"388","8",5354,"B","M",24,"1"
"389","8",122,"B","M",30,"2"
"390","8",7723,"L","M",24,"1"
"391","8",363,"W","M",44,"3"
"392","8",4730,"W","M",20,"1"
"393","8",3056,"B","M",25,"2"
"394","8",3146,"L","M",37,"3"
"395","8",8835,"B","M",29,"2"
"396","8",3761,"B","M",42,"3"
"397","8",8036,"L","M",42,"3"
"398","8",10979,"B","M",43,"3"
"399","8",5553,"W","M",22,"1"
"400","8",3585,"W","M",54,"3"
"401","9",8306,"B","M",43,"3"
"402","9",5074,"B","M",33,"2"
"403","9",8791,"W","F",29,"2"
"404","9",2567,"W","M",38,"3"
"405","9",10369,"L","M",29,"2"
"406","9",5342,"W","M",47,"3"
"407","9",5600,"B","M",25,"2"
"408","9",6916,"B","M",23,"1"
"409","9",5420,"B","M",22,"1"
"410","9",8292,"B","M",28,"2"
"411","9",1689,"W","M",54,"3"
"412","9",8118,"B","M",34,"2"
"413","9",7323,"B","M",41,"3"
"414","9",10652,"B","M",33,"2"
"415","9",10925,"W","M",26,"2"
"416","9",8259,"B","M",58,"3"
"417","9",1212,"B","F",24,"1"
"418","9",5670,"W","M",18,"1"
"419","9",8705,"B","F",22,"1"
"420","9",9367,"B","F",25,"2"
"421","9",8847,"B","F",39,"3"
"422","9",10985,"B","M",30,"2"
"423","9",1559,"W","M",24,"1"
"424","9",9055,"L","F",21,"1"
"425","9",7178,"B","M",43,"3"
"426","9",8891,"W","M",56,"3"
"427","9",5821,"W","M",31,"2"
"428","9",3298,"W","M",31,"2"
"429","9",5745,"B","M",29,"2"
"430","9",9811,"B","F",25,"2"
"431","9",5370,"B","M",23,"1"
"432","9",10167,"B","M",24,"1"
"433","9",919,"L","M",36,"3"
"434","9",9534,"B","M",49,"3"
"435","9",9746,"L","M",23,"1"
"436","9",6595,"B","M",40,"3"
"437","9",6862,"B","M",31,"2"
"438","9",807,"W","M",23,"1"
"439","9",4441,"W","F",54,"3"
"440","9",9040,"B","M",34,"2"
"441","9",5096,"B","F",38,"3"
"442","9",730,"A","M",35,"2"
"443","9",9852,"B","M",21,"1"
"444","9",8253,"B","M",29,"2"
"445","9",9163,"B","M",31,"2"
"446","9",2780,"W","M",58,"3"
"447","9",4510,"W","M",54,"3"
"448","9",2405,"B","F",24,"1"
"449","9",1446,"W","M",35,"2"
"450","9",1314,"B","M",31,"2"
"451","10",6360,"W","M",39,"3"
"452","10",1841,"W","F",37,"3"
"453","10",657,"B","F",24,"1"
"454","10",6449,"B","M",51,"3"
"455","10",3055,"B","M",61,"3"
"456","10",9831,"L","M",29,"2"
"457","10",5372,"B","F",29,"2"
"458","10",8863,"L","M",31,"2"
"459","10",2687,"W","M",54,"3"
"460","10",8563,"L","M",27,"2"
"461","10",4748,"B","F",30,"2"
"462","10",4524,"W","M",20,"1"
"463","10",5968,"W","M",57,"3"
"464","10",4520,"B","F",30,"2"
"465","10",5673,"B","M",32,"2"
"466","10",3084,"B","F",50,"3"
"467","10",1522,"B","M",23,"1"
"468","10",9495,"L","M",21,"1"
"469","10",5249,"B","M",28,"2"
"470","10",2400,"B","M",30,"2"
"471","10",5369,"B","M",45,"3"
"472","10",10807,"W","M",25,"2"
"473","10",4870,"W","M",24,"1"
"474","10",2165,"B","M",53,"3"
"475","10",3641,"W","M",26,"2"
"476","10",8471,"B","M",23,"1"
"477","10",4182,"W","M",32,"2"
"478","10",5623,"W","M",32,"2"
"479","10",7148,"L","M",45,"3"
"480","10",4754,"B","M",47,"3"
"481","10",6690,"B","M",25,"2"
"482","10",5069,"B","M",24,"1"
"483","10",22,"B","M",25,"2"
"484","10",5563,"W","M",33,"2"
"485","10",10949,"B","M",19,"1"
"486","10",208,"W","M",44,"3"
"487","10",1300,"W","F",21,"1"
"488","10",7847,"W","M",30,"2"
"489","10",4593,"A","M",38,"3"
"490","10",2841,"W","M",24,"1"
"491","10",7099,"B","M",34,"2"
"492","10",3110,"W","M",21,"1"
"493","10",3952,"W","M",37,"3"
"494","10",9229,"B","M",22,"1"
"495","10",3255,"B","M",51,"3"
"496","10",1718,"B","M",25,"2"
"497","10",480,"B","M",20,"1"
"498","10",8438,"W","F",34,"2"
"499","10",10136,"B","M",34,"2"
"500","10",5387,"B","M",34,"2"
"501","11",8534,"W","F",44,"3"
"502","11",8403,"B","M",19,"1"
"503","11",6668,"B","M",29,"2"
"504","11",9172,"B","M",21,"1"
"505","11",3950,"W","M",38,"3"
"506","11",1191,"W","M",22,"1"
"507","11",8939,"B","F",26,"2"
"508","11",2907,"B","M",22,"1"
"509","11",2152,"B","F",42,"3"
"510","11",266,"L","M",54,"3"
"511","11",7508,"L","M",44,"3"
"512","11",5506,"W","M",24,"1"
"513","11",2638,"W","M",23,"1"
"514","11",3412,"W","M",25,"2"
"515","11",5689,"W","M",22,"1"
"516","11",8565,"B","M",30,"2"
"517","11",10703,"B","M",43,"3"
"518","11",7247,"B","F",24,"1"
"519","11",6339,"B","M",49,"3"
"520","11",469,"B","M",20,"1"
"521","11",8258,"B","M",26,"2"
"522","11",10169,"W","M",33,"2"
"523","11",2898,"W","F",31,"2"
"524","11",8777,"W","M",21,"1"
"525","11",9484,"W","F",41,"3"
"526","11",648,"B","M",57,"3"
"527","11",1611,"B","M",47,"3"
"528","11",4835,"B","M",37,"3"
"529","11",3293,"W","F",27,"2"
"530","11",10317,"B","M",62,"3"
"531","11",1157,"N","M",27,"2"
"532","11",4165,"B","M",22,"1"
"533","11",279,"L","M",57,"3"
"534","11",9971,"W","F",55,"3"
"535","11",9380,"W","M",38,"3"
"536","11",10931,"L","M",28,"2"
"537","11",4694,"W","M",44,"3"
"538","11",10492,"L","F",25,"2"
"539","11",6687,"W","M",39,"3"
"540","11",10267,"B","F",31,"2"
"541","11",8642,"W","M",61,"3"
"542","11",3347,"B","F",36,"3"
"543","11",4139,"B","M",35,"2"
"544","11",3562,"B","M",52,"3"
"545","11",10560,"W","M",41,"3"
"546","11",9685,"B","M",22,"1"
"547","11",8014,"B","M",52,"3"
"548","11",6164,"B","F",37,"3"
"549","11",10580,"W","F",22,"1"
"550","11",5939,"W","M",45,"3"
"551","12",9563,"W","M",22,"1"
"552","12",603,"B","M",29,"2"
"553","12",1467,"B","M",29,"2"
"554","12",2959,"B","M",26,"2"
"555","12",2543,"B","M",37,"3"
"556","12",9303,"B","M",30,"2"
"557","12",8107,"W","F",49,"3"
"558","12",2917,"W","M",26,"2"
"559","12",4940,"B","M",34,"2"
"560","12",2140,"W","F",59,"3"
"561","12",1615,"W","F",38,"3"
"562","12",8308,"B","M",27,"2"
"563","12",9953,"B","M",23,"1"
"564","12",6769,"W","F",40,"3"
"565","12",5635,"W","F",52,"3"
"566","12",7427,"B","M",27,"2"
"567","12",887,"B","M",30,"2"
"568","12",7987,"W","M",29,"2"
"569","12",3182,"B","M",25,"2"
"570","12",163,"W","M",43,"3"
"571","12",3022,"B","M",35,"2"
"572","12",8885,"B","M",22,"1"
"573","12",2456,"W","M",43,"3"
"574","12",4371,"W","M",57,"3"
"575","12",8929,"L","M",30,"2"
"576","12",4701,"W","M",38,"3"
"577","12",3508,"B","F",20,"1"
"578","12",4643,"B","M",32,"2"
"579","12",1943,"B","M",24,"1"
"580","12",5454,"W","F",25,"2"
"581","12",1629,"B","M",27,"2"
"582","12",9785,"W","M",47,"3"
"583","12",215,"B","M",31,"2"
"584","12",7640,"W","M",37,"3"
"585","12",4186,"W","M",59,"3"
"586","12",9597,"W","M",22,"1"
"587","12",9523,"B","M",30,"2"
"588","12",4881,"B","M",31,"2"
"589","12",6000,"B","F",23,"1"
"590","12",7234,"L","M",37,"3"
"591","12",7675,"W","M",20,"1"
"592","12",9246,"W","F",55,"3"
"593","12",6574,"B","F",31,"2"
"594","12",10656,"B","M",20,"1"
"595","12",10935,"L","M",31,"2"
"596","12",2765,"B","F",26,"2"
"597","12",5678,"B","M",38,"3"
"598","12",7112,"B","M",55,"3"
"599","12",1578,"W","M",39,"3"
"600","12",510,"L","M",51,"3"
"601","13",8285,"B","M",28,"2"
"602","13",5535,"W","M",21,"1"
"603","13",210,"B","M",32,"2"
"604","13",10243,"L","F",29,"2"
"605","13",5128,"L","M",39,"3"
"606","13",1244,"W","M",47,"3"
"607","13",7962,"B","F",41,"3"
"608","13",5921,"W","M",52,"3"
"609","13",2484,"W","M",50,"3"
"610","13",7488,"B","M",21,"1"
"611","13",2446,"W","M",23,"1"
"612","13",6661,"W","M",24,"1"
"613","13",8000,"B","F",26,"2"
"614","13",6570,"W","M",47,"3"
"615","13",7581,"B","M",27,"2"
"616","13",10449,"B","F",51,"3"
"617","13",2654,"B","M",27,"2"
"618","13",9392,"W","M",53,"3"
"619","13",1874,"W","F",28,"2"
"620","13",4612,"W","M",31,"2"
"621","13",8761,"W","M",32,"2"
"622","13",2865,"B","M",22,"1"
"623","13",366,"W","M",22,"1"
"624","13",3113,"L","M",34,"2"
"625","13",7381,"B","F",43,"3"
"626","13",1144,"B","F",29,"2"
"627","13",7821,"W","M",30,"2"
"628","13",4933,"B","M",37,"3"
"629","13",5727,"B","M",40,"3"
"630","13",4476,"B","M",60,"3"
"631","13",10975,"B","M",25,"2"
"632","13",5138,"W","M",21,"1"
"633","13",9745,"B","M",23,"1"
"634","13",4834,"B","F",27,"2"
"635","13",2681,"B","M",43,"3"
"636","13",10686,"W","M",36,"3"
"637","13",6631,"B","M",43,"3"
"638","13",8794,"W","F",30,"2"
"639","13",8355,"B","M",28,"2"
"640","13",3488,"W","M",36,"3"
"641","13",10643,"B","M",22,"1"
"642","13",1682,"W","M",40,"3"
"643","13",1530,"L","M",69,"3"
"644","13",6022,"W","M",58,"3"
"645","13",3480,"B","M",53,"3"
"646","13",3636,"B","F",54,"3"
"647","13",8264,"B","M",30,"2"
"648","13",2519,"B","M",32,"2"
"649","13",9041,"W","M",36,"3"
"650","13",9475,"B","M",31,"2"
"651","14",4335,"B","M",37,"3"
"652","14",3925,"B","M",22,"1"
"653","14",7607,"B","F",23,"1"
"654","14",2766,"B","M",28,"2"
"655","14",8379,"A","M",76,"3"
"656","14",2220,"B","M",52,"3"
"657","14",3337,"B","M",32,"2"
"658","14",7355,"W","F",35,"2"
"659","14",1250,"B","M",35,"2"
"660","14",5634,"W","M",39,"3"
"661","14",98,"B","M",27,"2"
"662","14",6320,"B","M",39,"3"
"663","14",1604,"B","M",36,"3"
"664","14",8681,"B","M",33,"2"
"665","14",1325,"B","F",52,"3"
"666","14",8140,"B","M",31,"2"
"667","14",2537,"B","F",27,"2"
"668","14",8239,"B","M",28,"2"
"669","14",3818,"B","M",23,"1"
"670","14",9129,"B","M",26,"2"
"671","14",622,"W","F",39,"3"
"672","14",3387,"B","M",52,"3"
"673","14",4336,"B","M",23,"1"
"674","14",6525,"W","M",51,"3"
"675","14",10359,"B","M",25,"2"
"676","14",1128,"W","F",22,"1"
"677","14",1430,"L","M",47,"3"
"678","14",9894,"W","F",34,"2"
"679","14",5432,"W","M",56,"3"
"680","14",7526,"W","M",23,"1"
"681","14",6996,"B","F",21,"1"
"682","14",9867,"B","M",41,"3"
"683","14",3841,"W","M",56,"3"
"684","14",8060,"W","M",62,"3"
"685","14",3631,"W","F",36,"3"
"686","14",277,"B","M",47,"3"
"687","14",4776,"B","M",38,"3"
"688","14",8354,"W","M",29,"2"
"689","14",754,"B","M",29,"2"
"690","14",3722,"B","M",23,"1"
"691","14",8962,"W","M",32,"2"
"692","14",7123,"B","M",27,"2"
"693","14",8129,"B","M",27,"2"
"694","14",10622,"B","F",44,"3"
"695","14",844,"B","M",58,"3"
"696","14",2511,"L","M",37,"3"
"697","14",4761,"L","M",30,"2"
"698","14",2320,"B","F",22,"1"
"699","14",5544,"B","F",24,"1"
"700","14",9730,"W","M",30,"2"
"701","15",963,"W","M",25,"2"
"702","15",7459,"B","M",26,"2"
"703","15",10660,"L","M",23,"1"
"704","15",9556,"L","M",30,"2"
"705","15",7868,"B","F",37,"3"
"706","15",5042,"B","M",45,"3"
"707","15",8866,"L","F",34,"2"
"708","15",5935,"B","M",24,"1"
"709","15",7916,"B","M",25,"2"
"710","15",6864,"B","M",26,"2"
"711","15",2438,"A","M",67,"3"
"712","15",70,"B","M",29,"2"
"713","15",7206,"L","M",37,"3"
"714","15",728,"L","M",34,"2"
"715","15",2632,"W","M",56,"3"
"716","15",6249,"W","M",38,"3"
"717","15",9509,"B","M",27,"2"
"718","15",10509,"B","M",25,"2"
"719","15",5052,"W","M",44,"3"
"720","15",7320,"W","M",22,"1"
"721","15",4159,"W","M",41,"3"
"722","15",2583,"W","F",35,"2"
"723","15",2402,"B","M",46,"3"
"724","15",10271,"L","M",33,"2"
"725","15",3999,"B","M",41,"3"
"726","15",1241,"W","M",34,"2"
"727","15",3774,"W","M",61,"3"
"728","15",1452,"W","F",21,"1"
"729","15",4397,"B","M",37,"3"
"730","15",8728,"W","F",24,"1"
"731","15",3805,"W","M",28,"2"
"732","15",2278,"W","M",63,"3"
"733","15",7894,"B","M",20,"1"
"734","15",10484,"W","M",29,"2"
"735","15",8223,"W","F",31,"2"
"736","15",7341,"B","M",25,"2"
"737","15",7166,"B","F",33,"2"
